Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
6,5,8,アスニカケルハシ,牡7,56,楢崎功祐,1:36.9,クビ,12-12-12-13,39.9,100.8,13,469(+1),[地]山浦武,遠藤裕之,
7,7,12,ダンディスタイル,牡5,56,瀧川寿希,1:36.9,クビ,11-11-11-12,39.9,19.2,8,456(-4),[地]秋山重美,西高辻信良,
8,4,5,トーセンミラージュ,牡5,56,左海誠二,1:37.4,2.1/2,3-3-4-2,42.3,34.8,10,523(+4),[地]小久保智,島川隆哉,
9,5,7,キングイマデショウ,牡4,56,真島大輔,1:37.5,1/2,9-9-8-9,41.3,47.9,11,480(+2),[地]斉藤敏,蓑島竜一,
10,6,10,ラブチェリー,牝5,54,赤岡修次,1:37.5,ハナ,2-2-2-2,42.6,16.0,6,438(+2),[地]内田勝義,内山一郎,
11,4,6,エメンタールベルン,牝3,53,的場文男,1:37.5,ハナ,1-1-1-1,42.9,3.1,1,531(+3),[地]鈴木義久,四本昭弘,
12,8,14,トンドゥアモール,牝3,53,森泰斗,1:37.7,1,6-6-6-8,42.0,15.4,5,481(+2),[地]岡田一男,上野耕一,
13,6,9,ハルズハッピー,牡6,56,伊藤裕人,1:37.9,3/4,13-13-13-10,40.5,286.0,14,504(+8),[地]山崎尋美,高良憲光,
14,3,4,ハッピーリーベ,牝4,54,小杉亮,1:38.5,3,4-4-3-5,43.6,33.0,9,454(-4),[地]矢野義幸,石瀬浩三,
1,7,8,コスモパープル,牝4,54,高橋哲也,1:31.5,,2-2-2-2,38.4,10.8,4,489(+10),[地]平山真希,杉浦和也,120.0
2,1,1,ダイヤルミナス,牡4,56,矢野貴之,1:31.6,1/2,5-5-5-6,37.8,1.6,1,502(-4),[地]新井清重,（同）ＪＰＮ技研,36.0
3,8,10,シゲルオウミ,牝5,54,和田譲治,1:31.6,クビ,1-1-1-1,38.7,166.2,11,474(-4),[地]鈴木義久,森中蕃,21.6
4,6,7,シュンイキ,牡4,56,森泰斗,1:31.9,1.1/2,3-3-3-3,38.7,8.9,3,498(0),[地]加藤誠一,石川博,14.4
5,8,11,ヤマニンバリトン,牡4,56,山崎誠士,1:32.1,1,4-4-4-4,38.6,5.1,2,509(+8),[地]山崎尋美,土井睦秋,12.0
6,3,3,ゴールデンパピオン,牡6,56,金子正彦,1:32.2,3/4,8-8-5-5,38.5,23.1,8,498(0),[地]岩本洋,日本スタンダード（,
7,4,4,キープザパッション,牝4,54,瀧川寿希,1:32.6,2,10-10-11-9,38.2,20.0,6,437(-1),[地]山田質,水野秀明,
8,2,2,トーホウビッグガン,牡6,56,増田充宏,1:32.6,クビ,7-6-8-7,38.6,87.7,10,511(+2),[地]内田勝義,内山一郎,
9,7,9,リンノメサイア,牝4,54,中野省吾,1:32.7,クビ,9-9-10-11,38.3,22.0,7,484(-1),[地]佐々木功,光安了,
10,6,6,ヒロノカマオレ,セ4,56,真島大輔,1:32.7,クビ,11-11-7-8,38.3,55.6,9,475(-4),[地]渡辺貴光,（有）ＮＯ．９ホー,
11,5,5,クインズケリド,牡4,56,今野忠成,1:33.0,1.1/2,6-7-9-10,38.8,15.3,5,499(-2),[地]佐藤博紀,亀田和弘,
1,1,1,トキノシップー,セ3,56,増田充宏,1:37.3,,8-8-9-6,38.9,1.7,1,448(-3),[地]八木正喜,田中準市,180.0
2,7,8,シャイニングアトム,牡3,56,赤岡修次,1:37.4,3/4,7-6-5-3,39.3,4.1,2,497(-1),[地]内田勝義,伊藤享,54.0
3,3,3,シグラップジュリア,牝3,54,瀧川寿希,1:38.3,4,10-10-10-8,38.9,8.2,4,434(-5),[地]深野塁,杉浦和也,36.0
4,6,7,グロースハック,牡3,56,笹川翼,1:38.5,1,9-9-3-4,40.4,24.5,6,425(+5),[地]小久保智,小田吉男,21.6
5,8,10,トレンドマーク,牡3,56,坂井英光,1:38.5,アタマ,5-6-3-5,40.6,171.0,11,458(-8),[地]内野健二,長橋秀雄,14.4
6,7,9,ジュンヒラメキ,牝3,54,左海誠二,1:38.9,2,2-2-1-1,41.2,75.0,10,466(0),[地]小久保智,河合純二,
7,4,4,コウキアツガール,牝3,54,森泰斗,1:39.9,5,1-1-1-1,42.2,7.9,3,451(+6),[地]加藤誠一,吉田勝利,
8,2,2,コスモアクイラ,牝3,54,本田正重,1:40.2,1.1/2,5-3-6-7,42.1,17.4,5,442(+2),[地]河津裕昭,ビッグレッドファーム,
9,6,6,コクリュウ,牝3,54,酒井忍,1:40.5,1.1/2,11-11-11-10,41.0,33.5,7,462(0),[地]八木仁,小尾洸,
10,5,5,ステルスブルー,牡3,56,秋元耕成,1:40.5,アタマ,4-5-8-8,42.2,73.1,9,469(+8),[地]藤原智行,小嶋絹子,
11,8,11,フジノポイント,牝3,54,楢崎功祐,1:41.5,5,3-4-6-10,43.4,48.7,8,437(-11),[地]田辺陽一,遠藤正子,
1,8,9,トーセンセラヴィ,牝5,55,森泰斗,1:33.9,,1-1-1-1,38.1,1.3,1,492(-1),[地]小久保智,島川隆哉,300.0
2,1,1,チャンピオンゴッド,牡6,57,真島大輔,1:34.7,4,4-2-2-2,38.5,3.0,2,522(+2),[地]内田勝義,坪野谷和平,90.0
3,2,2,ファイトユアソング,牝5,55,和田譲治,1:35.0,1.1/2,6-6-6-6,38.2,32.1,5,450(-3),[地]佐々木仁,（有）グランド牧場,60.0
4,7,7,ハクサンフレンチ,牡4,55,石崎駿,1:36.0,5,5-4-5-3,39.6,25.2,4,498(-8),[地]矢野義幸,河崎五市,36.0
5,6,6,ゲンパチメジャー,牡7,57,坂井英光,1:36.4,2,9-9-9-9,38.9,85.7,8,506(-6),[地]鷹見浩,平野武志,24.0
6,4,4,アールデュラン,セ7,57,見沢譲治,1:36.4,ハナ,8-8-7-7,39.1,37.1,6,487(-5),[地]宇野木博,岡本育枝,
7,3,3,ダイワアズール,セ7,55,笹川翼,1:36.4,ハナ,3-4-2-4,40.2,77.6,7,458(-5),[地]内野健二,宮脇幸一,
8,5,5,ハードクラップ,セ6,55,山本聡紀,1:36.6,1,6-7-7-7,39.6,174.9,9,456(-4),[地]佐藤賢二,（有）エッジ,
9,8,10,マンボダンサー,牡8,57,赤岡修次,1:37.6,5,2-2-2-4,41.4,13.2,3,491(-17),[地]内田勝義,（有）グランド牧場,
1,6,6,マジックボーイ,牡4,56,赤岡修次,1:44.1,,1-1-1-1,39.4,3.0,1,473(-7),[地]佐々木仁,（有）グランド牧場,170.0
2,4,4,ブラウンタイガー,牡5,56,的場文男,1:44.9,4,3-3-3-3,39.5,4.5,3,452(-8),[地]山越光,小島學,51.0
3,3,3,クリスティーナ,牝4,54,本橋孝太,1:45.8,4,9-9-8-6,39.1,9.6,6,482(0),[地]坂本昇,安川幸彦,34.0
4,7,7,ユウユウムサシ,牡4,56,森泰斗,1:45.8,クビ,2-2-2-2,40.9,22.0,7,433(-6),[地]岡林光浩,高岡義光,20.4
5,1,1,ブリアンナ,牝4,54,瀧川寿希,1:45.8,クビ,6-6-5-5,40.0,3.8,2,490(-5),[地]稲益貴弘,桑田牧場,13.6
6,2,2,ミッキーボクサー,牡5,56,見沢譲治,1:46.1,1.1/2,7-7-7-8,39.8,7.9,5,458(-2),[地]飯田幸雄,尾崎雄二,
